User_Name,Is_Local_Guide,User_Total_Reviews,Rating,Review_Date,Has_Image,Review_Text,Sentiment,Kategori_Operasional,Urgency_Level
Golden Star,Bukan,1,1,4 minggu lalu,Tidak,"Hati hati bolo , memilih tempat makan, Sebelum membeli tanyakan harga . Jangan tergoda warung viral banyak foto artis .... …",Negatif,Harga,Sedang
Anne,Ya,184,4,Diedit setahun lalu,Ya,"Lelenya dapet 2 soalnya kecil2 tapi tetep kurang sih menurutku dibanding porsi nasinya, hehe. Sambelnya enakk banget dan dapet penuh satu ulekan. Yg aku suka sabunnya gak dicampur air 🤣👍🏻 Oh iya, buka 24 jam! Mantap! …",Positif,Produk/Makanan,Rendah
Arif Subagyo,Ya,245,3,setahun lalu,Ya,"Sambelan paling manteb rasanya. Harga relative mahal. Gak ada daftar harga, yg pertama kali datang akan kaget. Es jeruk 25rb sepertinya agak mahal. Sekali2 aja kesini kalo lagi pingin sambelan yg enak.",Netral,"Harga, Produk/Makanan",Rendah
edy nurtamam,Ya,19,3,2 bulan lalu,Tidak,"Lihat harga sebelum makan biar tidak kecewa, lumayan mehong dibanding tempat lain setara. Kemaren berdua habis 200k lebih, menunya Gurami bakar 130k, bebek 1 potong 45k, nasi putih satu porsi 14k, teh anget 10k, sayur, sambel gratis bisa reques pedas atau tidak",Netral,"Harga, Produk/Makanan",Rendah
Eka Hadi Styaningsih,Bukan,6,1,8 bulan lalu,Ya,"Gk rekomend sih, karna overprice 😩 harga gk masuk akal. Saran aku mending cari lalapan di lain aja 😭 harga nasi 14rb 😩 es jeruk 27rb 1 gelasnya 😭 …",Negatif,"Harga, Produk/Makanan",Sedang
Salma oktaa,Bukan,2,1,3 bulan lalu,Tidak,"Sepertinya perlu banyak renovasi di sini, baik dari segi tempat maupun standar kebersihan alat makan. Cobeknya sudah pada grompil tapi masih dipakai. Rasa makanannya flat banget, sambalnya juga kurang bumbu. Dengan harga yang lumayan tinggi, ekspektasi saya jauh di atas ini. Sayang sekali",Negatif,"Produk/Makanan, Suasana/Tempat",Sedang
Indri Ani,Ya,23,1,4 bulan lalu,Tidak,Kapok makan disini...utk rasa emang enak tapi klo harga nggak masuk akal jd nyesel krn disana nggak ada menu harganya kita jadi ambil sate2an dan ternyata hrganya luar biasa 🤣 Sate yg hrsnya 5rb ini bisa smpe 40rb 1 tusuk. Sempet kita …,Negatif,"Harga, Produk/Makanan",Tinggi
Ndramus Thok,Bukan,2,1,5 bulan lalu,Ya,"Jangan pernah yg kedua kalinya,.. makanan ga masuk akal. Bebek 1, lele rp.114.000. mending di resto",Negatif,"Harga, Produk/Makanan",Tinggi
Bayu Himawan,Ya,95,1,setahun lalu,Ya,"Pertama kali makan disini hsail dari tanya-tanya orang, memang sudah diberitahu makan disini mahal, tapi karena sudah tengah malam tidak ada yang buka dan penasaran akhirnya kami coba, setelah sampai langsung pesan, makanan matang, rasa …",Negatif,"Harga, Produk/Makanan",Sedang
Ryuniar,Bukan,3,1,6 bulan lalu,Ya,Gilaa pesen gurami 1 dengan harga segitu 🥲 pdhal gurami nya kecil kayak gak sesuai aja dengan tempat nya . Sambel juga gak seberapa enakk …,Negatif,"Harga, Produk/Makanan",Sedang
Eryz West,Bukan,6,1,sebulan lalu,Tidak,"Harga emang gak dipasang, jd sangat menjebak customer. Rasa sangat2 biasa aja, tidak ada yg istimewa. Ini padahal resto biasa bukan resto mewah. harganya sangat2 tidak masuk akal.",Negatif,"Harga, Produk/Makanan",Tinggi
riyanto openk,Ya,14,1,sebulan lalu,Tidak,"Rasa biasa Di menu tidak tercantum harga dan alhasil kena getok mahal Di hargain sendiri"" di nota …",Negatif,"Harga, Produk/Makanan",Tinggi
Putri Rahmayani,Bukan,4,1,setahun lalu,Ya,"Tidak worth it untuk makanan dipinggir jalan, tempat termasuk kumuh tp harga selangit Pesan ikan bakar ukuran sedang 3 ayam goreng 3 potong nasi 6 piring minum 6 …",Negatif,"Harga, Suasana/Tempat",Tinggi
sonny surya,Bukan,5,1,7 bulan lalu,Ya,Untuk pelayanan bagus Untuk rasa biasa Sayang harganya bikin wow. …,Negatif,"Harga, Pelayanan/Staf",Sedang
fransiska herningtyas,Bukan,12,1,4 bulan lalu,Ya,"mahal bebek 50 rb, lele 18 rb, nasi 14 ribu. gak usah diulang",Negatif,"Harga, Produk/Makanan",Sedang
Siti Nawangsih,Ya,120,5,2 bulan lalu,Ya,"Hehe sorry om udah janji lama tapi blm sempat mampir😊✌️ nextime lah tapi wunak ya sambal matahnya,ini prtama kalibya aku makan sambal bawang putih ya itu atau apa kok kenyes"" aku kira kayak kentang malah hehe... porsi nasi ne kakehan bisa sampe sahur inu mah 😊👍👍👍👌 ok deh …",Positif,Produk/Makanan,Rendah
Farel Suek,Bukan,2,1,4 minggu lalu,Tidak,Ngerrii.. Ini mah bukan resto tapi warung hrga. Resto bintang 5.. Tolong utk. Pemkot setempat. Utk d tindk lanjuti. Warung ini. Byr tdk ada korban dusta dr warung harga tdk d terterakan. Kasihan korban selanjutnya. Warung tdk amanah. Tp …,Negatif,Harga,Tinggi
Rusyda Taqiyya,Ya,75,1,8 bulan lalu,Ya,"Saya percaya2 sama driver yg bawa ke tempat ini. Pas mau bayar, kok tagihannya mahal banget ber lima segini. Es jeruk 27 rebu, nasi 14 ribu. Ikan kerapu yg gong 160.000. Ga ada harga sama sekali terpajang di tempat makannya.",Negatif,"Harga, Produk/Makanan",Tinggi
Avitaning Ayu K,Bukan,5,1,2 bulan lalu,Tidak,Kapok banget makan disini...sangat tidak wajar dan tak masuk akal. Pesan 1 ekor ikan bawal sedang_besar...1 ekor gurami sedang...1 es teh..2 nasi ..3 tahu 3 tempe goreng abisnya 438 .000 …,Negatif,"Harga, Produk/Makanan",Tinggi
anjni pr,Bukan,7,1,setahun lalu,Ya,MAHAL BGT!!!! harganya gk masuk akal coy 😭 nasi biasanya 5rb disini 13rb pdhl porsinya dikit. es teh 13rb 😭 ayam kecil 34rb. parah seh …,Negatif,"Harga, Produk/Makanan",Tinggi
Ermi Herawati,Bukan,2,2,7 bulan lalu,Ya,"Overprice, kakap putih 5,3 ons, nasi 2, tahu tempe 2, terong bakar, teh tawar hangat dan jeruk hangat Rp 288.000,-",Negatif,"Harga, Produk/Makanan",Sedang
Yudho Kusumo,Bukan,7,1,setahun lalu,Ya,"OVERPRICE, rasa di bawah standar, gak worth it dengan harganya, tidak ada pricelist di buku menu, ditanya harga gak jawab, pesen diburu2, milih ikan diambilkan yang besar. …",Negatif,"Harga, Pelayanan/Staf",Sedang
imanuel arnold,Ya,177,3,4 tahun lalu,Ya,"Usut punya usut katanya Padin Ikan Goreng ini cukup rame apalagi di kalangan yang kelaparan sehabis ""wisata malam"" karena ya tempat ini buka 24 jam. Lokasinya sendiri lumayan strategis, dari lampu merah perempatan sebelum BG Junction …",Netral,Suasana/Tempat,Rendah
lilis setyowati,Bukan,2,1,3 bulan lalu,Ya,"Mas, jualan sewajarnya saja Sy kaget habis makan lihat notanya segitu, gak sebanding sama makanannya. Cuman bebek saja 60rb, es milo 27rb. Mending tutup saja mas 🥺🙃 GAK WAJAR …",Negatif,"Harga, Produk/Makanan",Sedang
Achi 1982 Akhdan,Bukan,10,1,sebulan lalu,Tidak,"Baru aja dan pertama kali makan disini, harga bikin shock , ikan kakap merah bakar 5 ons 220 rb, harga blm nasi dan minum, rasa B aja. Gk worthit lah",Negatif,"Harga, Produk/Makanan",Sedang
Berdi Simangulun,Ya,56,1,setahun lalu,Ya,Mohon maap sblmny saya hanya riview jujur ssuai kjadian. Baru Datang lgsg diburu2 pilih seafoodnya. Krn kegedean untung gk ambil. Ibunya tidak ramah trkesan nyepeleke kaya kita yg butuh makan. Sy plih air putih panas …,Negatif,"Pelayanan/Staf, Produk/Makanan",Sedang
Aulia Lia,Bukan,5,1,3 bulan lalu,Tidak,ya allah terkeget kaget loh aku makan di padin ini.. harga kayak makan di restoran mall mall gilak kali harga nya gak masuk akal.. pantesan sekarang warung nya sepi..orang harga nya gak ngotak kali ya...makan …,Negatif,Harga,Sedang
Chandra Nugraha,Ya,375,4,2 tahun lalu,Ya,"Lokasinya ada di jalan Kranggan dekat BG Junction Mall. ada banyak pilihan menu mulai ikan kakap, ikan kerapu, lele, bebek, ayam, tahu, tempe, terong dan yang lainnya, bisa di goreng maupun di bakar. Pilihan sambalnya juga ada banyak mulai …",Netral,"Suasana/Tempat, Produk/Makanan",Rendah
prayogi atika,Bukan,11,1,8 bulan lalu,Ya,"Habis makan kaget dengan harga yang tidak logis hehehe.padagal dlu katanya rame skrng sepi bgt pas saya makan tadi. Y SDH di bayar saja sudah kenyang dengan rasa standar sperti penyetan kaki lima pada umumnya, tapi harga restoran bintang …",Negatif,"Harga, Produk/Makanan",Sedang
Lintang Pratama,Ya,444,5,Diedit setahun lalu,Ya,"Ntah kenapa, sambelnya berubah rasa. Ngga sekental dan pedes ssperti dulu. Pembangunan/renovasi pedestrian juga proyeknya ngga selesai2 sepertinya, membuat selokannya ternganga membuat aroma kurang sedap tercium. Dan seperti biasa, sediakan …",Negatif,"Produk/Makanan, Suasana/Tempat",Sedang
rDre kun,Bukan,4,1,4 bulan lalu,Tidak,"iseng nyoba mampir kesini karna sepi, ekspektasi ku biar pelayanan maksimal... eh ternyata zonk, makan berdua habis 170rb, sambal nya gk kemakan karena basi, cukup sekali aja sih gk lagi² kesini …",Negatif,"Pelayanan/Staf, Produk/Makanan",Tinggi
Sepdhyo Wahyu,Ya,439,5,4 tahun lalu,Ya,"Salah satu tempak makan yang enak di surabaya. Parkiran luas, tempatnya terang, dan buka 24 jam. Ada banyak menu mulai seafood (bakar atau goreng), ayam, bebek, babat, dan lain-lain. Minuman pun bervariasi. Untuk seafood ada dorang, kakap, …",Positif,"Fasilitas/Parkir, Suasana/Tempat",Rendah
FICKA ANDRIA PRATAMA,Ya,42,1,6 bulan lalu,Tidak,"Untuk rasa yang biasa saja harganya terlalu tinggi,, Mungkin karena penjual nya sudah sering foto bareng artis ya, jadi kalau makan disini Rasa biasa saja tapi kursi dan meja nya bekas artis 😁😁 …",Negatif,"Harga, Produk/Makanan",Sedang
karlina Widiyastuti,Bukan,2,1,setahun lalu,Ya,"Makanan penyetan di wilayah Surabaya yg rasanya biasa ,harganya gak masuk akal sate udang 1 tusuk 40rb,es jeruk 27rb ,nasi putih 1 piring 13 rb,ikan bakar 130rb ,usus ayam 48rb ..semoga bermanfaat",Negatif,"Harga, Produk/Makanan",Sedang
edoy ramadhani,Ya,106,4,4 tahun lalu,Ya,"Enak, pilihan sambel banyak, ukuran pedes nya itu di atas rata rata, mesen yang sedeng aja rasa pedes ya pooll, tapi kalo di padu sama nasi dan gurihnya bebek yang di goreng dalam wajan penuh minyak berlemak, rasanya memberikan efek yang …",Positif,Produk/Makanan,Rendah
Adityo Pujo,Bukan,6,1,6 bulan lalu,Tidak,"rasa lumayan ok , tp untuk ukuran kaki lima harga terlalu overprice , cth 1 sate udang isi 4udang 40 rb, 1 sate usus 48rb . tp ya ga pa2 kalo memang pengen makan yg 24 jam, dan mungkin tamu dr luar kota yang hanya mengandalkan google. tp bukan untuk kaum mendang mending",Negatif,"Produk/Makanan, Harga",Sedang
Daffa Reyhan,Bukan,7,1,4 bulan lalu,Tidak,"Pesan kerapu 1, nasi putih 3, terong 1, ayam dada 4 total 472 K, kami kira yang buat mahal ikan kerapunya ternyata memang restorannya yang parah kasih harga. Ga lagi2 deh",Negatif,"Produk/Makanan, Harga",Sedang
Retno Hesti Puspandari,Ya,140,1,setahun lalu,Ya,"Makan disini kita mau pilih makan apa diburu² sama mbak² yg jaga ikannya. Kita tanya harga ikannya brp, jawabnya nanti ditimbang. Trus nanya harga per 100 gram brp, dijawab g tahu. Agak aneh kalau penjual sampe g tahu harga yg dijual. Pas …",Negatif,"Pelayanan/Staf, Harga",Sedang
Sarah Almahyra,Ya,412,2,3 bulan lalu,Tidak,Sebenarnya rasa nya cukup enak. Tapi harganya kurang transparan. Kasirnya ngasih harganya random. …,Negatif,"Produk/Makanan, Harga",Sedang
Thyca Chan,Ya,281,2,6 tahun lalu,Ya,"Hmm gmn ya? Sorry to say, ini kemahalan sihh. Semua dihitung satu”. Ayam, nasi, tahu tempe, terong, dll, semua ada hrga nya sendiri..ngk jadi 1 paket. Jadii makin bnyak ikan yaa makin nambah. Sambel sih oke, bebek & Ayam juga keras, tempe tahu juga B aja. Tempat juga lumayann sih. Not worth it sih dengan hrga segitu. Sorry 🙏🏻🙏🏻🙏🏻 …",Negatif,"Produk/Makanan, Harga",Sedang
E Y,Ya,79,1,11 bulan lalu,Ya,"Agak overprice. Bukan masalah target market nya atau apapun itu. Sdh tanya harga , katanya 1 paket . Eh ternyata pas di kasir , ayam terong sambal harga nya gk sesuai. Ayam nya alot bgt. Gk meresap bumbunya. Nasi katanya goceng 5000. Ini gk …",Negatif,"Produk/Makanan, Harga",Sedang
Oktavianita Putri Ariza,Bukan,5,1,3 bulan lalu,Tidak,gilaa gila pesen 2 bebek 2 nasi 2 es teh 158.000 dong sambel juga ga macem2 cuma sambel tomat tp harga g ngotak sumpah,Negatif,"Produk/Makanan, Harga",Sedang
Fitri Olivia,Bukan,4,1,setahun lalu,Ya,Honest Review Barusan dine in bareng 5 orang …,Negatif,Pelayanan/Staf,Sedang
Hizkia Efrat,Bukan,3,1,2 tahun lalu,Ya,Udang kek gitu 3 tusuk 40 rb ??? Es jeruk 4 100 rb ?? Satunya 25 rb ???? Tdi gw rombongan 13 org habis 1 jt 98 rb coyy padahal makanan nya ga banyak banyak amat . Asli ini udah masuk penipuan sih,Negatif,"Produk/Makanan, Harga",Tinggi
AMIRUDDIN FARID MUKHTADI,Ya,631,1,7 tahun lalu,Ya,"Muahal.... bebek goreng 40rb/porsi, es jeruk 18rb/gelas, nasi putih 7rb/porsi, Tempat kurang nyaman... ada ruangn tertutup tp tdk ada AC cm kipas... makan pedes..cuaxa panas tmbah kmringet sumuk...",Negatif,"Suasana/Tempat, Harga",Sedang
A Soka,Ya,22,1,2 tahun lalu,Ya,"Harganya mahal bangeet buat ukuran kaki 5, dlu waktu masih di tenda ngga semahal ini. Semalem makan ber 5 yg dipesan : 2 ayam goreng …",Negatif,"Produk/Makanan, Harga",Sedang
Toko listrik Rafftech,Bukan,1,1,10 bulan lalu,Ya,"Es jeruk 27 RB😱,nasi 14rb,bebek 47rb..klu sekelas restoran sih wajar harga segitu tempatnya nyaman ber AC,lha ini sekelas warung harganya selangit,tempatnya juga panas ga nyaman😏bener2 ga worth it makan disini.cukup sekali dan ga bakalan balik lagi..hrganya gaa ngotak👎pntesan di buku menu ga ada hrga,, …",Negatif,"Suasana/Tempat, Harga",Sedang
Pricillia Yuliana,Ya,40,5,2 tahun lalu,Ya,"Pertama kali mencoba makan disini, dan jawabannya ENAK. Mungkin karna kami pesannya ikan kakap merah bakar sehingga harganya lumayan, tadi sedang besarnya harga 165K, sambalnya enak, setiap menu lauk, bisa dapat 1 …",Positif,"Produk/Makanan, Harga",Rendah
Mai Umi Khumaidah,Bukan,4,1,4 bulan lalu,Tidak,"Untuk yang lain yang mau ke sini harap di pikir"" lagi,harga ga masuk akal bgt bebek dada 3 150k, tempatnya kotor, fasilitas ga lengkap,es jeruk 27k padahal pakek jeruk nipis bulan jeruk buah,dan di buku menu tidak ada keterangan …",Negatif,"Suasana/Tempat, Harga",Sedang
SUCI Ramadhani,Ya,10,1,4 bulan lalu,Tidak,Aku padahal ga pernah itung itungan masalah jajan dan makanan. Mahal asal enak dan kualitas sesuai tidak masalah bagi saya. …,Negatif,"Produk/Makanan, Harga",Sedang
Ika Shaliha Oktavia,Ya,334,4,Diedit 3 tahun lalu,Ya,"Yang membuat tempat ini istimewa adalah, pilihan sambelnya banyak! Apalagi minumannya disediakan dengan gelas jumbo, pilihan lauknya juga lumayan lengkap. Beserta kondimen penyetan lainnya, seperti timun, kemangi, terong, tahu dan tempe. …",Positif,Produk/Makanan,Rendah
MALIYAKIN,Ya,236,3,9 tahun lalu,Ya,"Secara Rasa 8/10 dan tempatnya cukup luas, kita bisa memilih di dalam ruangan berkaca atau di sebelah samping yang bisa langsung melihat ke jalan raya kranggan. …",Positif,"Produk/Makanan, Suasana/Tempat",Rendah
ayu mahrezaa,Ya,85,2,7 tahun lalu,Ya,"Harga gurami 70k cukup mahal jika dibandingkan dengan ukurannya, normalnya ukuran kecil itu seharga 45/55k jika diluar. …",Negatif,"Produk/Makanan, Harga",Sedang
Anindya Sadhana,Bukan,8,1,setahun lalu,Ya,"Pertama kali kesini, nanya harga bilangnya “oh yang tau kasir sekitar 15-20ribuan” lanjut mesen minum dan free sambal. Dilihat menunya gk ada harganya. Berasa di TIPU. JANGAN KESINI LAH!!! 😔🙏🏻 dan nyeseknya jeruk 25rb gilak!!!! Maafin hanya mau jujur!!! …",Negatif,Harga,Tinggi
Hyunie Qusnul,Bukan,2,1,setahun lalu,Ya,"Bisa nilai ajalah ya sendiri , bukan resto tapi harga nya gong bangett . Nasi perporsi nya 13k . Udang di tusuk isi 4 biji 40k babat kecil2 48k bebek goreng tanpa bumbu ato apapun hanya goreng dengan harga 47k 🫠 …",Negatif,"Produk/Makanan, Harga",Sedang
Muhammad Sakti,Ya,34,5,setahun lalu,Ya,Mantap. Saya pesan sambal tomat dgn tingkat kepedasan medium benar2 terasa medium. Bisa dinikmati. Mantap sekalii. Semua menu kita santap sampai ludes. …,Positif,Produk/Makanan,Rendah
Rohmat (Rohmat),Ya,253,5,3 tahun lalu,Ya,"Salah satu tempat kuliner malam Surabaya yang buka hingga 24 Jam. Terletak di dekat pasar blauran, Padin Ikan Goreng menyediakan berbagai macam …",Netral,"Produk/Makanan, Suasana/Tempat",Rendah
Arie Amri,Ya,927,4,6 bulan lalu,Ya,"Masakan enak.. Harga lumayaan, standart surabayaa..",Positif,"Produk/Makanan, Harga",Rendah
Desi Setia Rini,Bukan,3,1,4 bulan lalu,Tidak,"Barusan makan ikan dorang goreng sm ikan kakap bakar berdua habis 500rb😱 tempatnya kotor, banyak lalat, lalapan timun dan kol saja...wes kapok aku😅 …",Negatif,"Produk/Makanan, Suasana/Tempat",Tinggi
rieke n.,Ya,10,1,setahun lalu,Ya,"Dulu tinggal di sby tahun 2018 harga udah lumayan mahal. Eh sekarang lebih parah, overprice. Blas ga worth it, tempat kumuh, ngemper pinggir jalan. Mau pilih menu udah dibikin buru-buru sama mbak2nya, buka menu ga boleh, gendeng.... …",Negatif,"Pelayanan/Staf, Suasana/Tempat",Tinggi
Farich Sadi,Ya,9,2,2 tahun lalu,Ya,"makanan, oke, sambelnya masih cocok di lidah. service dari pekerja juga bagus, tanggep banget dan cepet pelayanannya. suasana sekitar juga rame, jadi enak sambil liat liat. …",Positif,"Produk/Makanan, Pelayanan/Staf",Rendah
yossi budiono,Ya,1018,1,sebulan lalu,Tidak,"Tadinya mau makan disini tp lihat revisi banyak yg kecewa krn harganya nggak masuk akal jadi batal, mending makan di BG junction",Negatif,Harga,Sedang
Ahmad WR,Ya,5,1,setahun lalu,Ya,"GILA SIH!! Dulu terakhir makan disini msh murmer, ko skrg malah harganya ngalah2in makan di Hotel/ resto, padahal menu dan masakan g jauh beda sama penyetan yg mangkal di pinggir jalan, tempatnya juga B aja!!! Es jeruk 25.000? Ini jeruk …",Negatif,"Suasana/Tempat, Harga",Tinggi
tere teresia,Bukan,1,1,2 tahun lalu,Ya,Baru Kali ini ksih ulasan di google. Tapi ini sangat tidak wajar. Rasa B aja. Porsi sama kyk kaki Lima. Jualan jg dipinggir jl ala kaki Lima. Tapi harga nya ga msuk akal. Makan bebek 2 Dan 1 tusuk udang. Juga Milo 1 gelas ukuran gede harga …,Negatif,"Produk/Makanan, Harga",Tinggi
Castella Api,Bukan,2,1,4 bulan lalu,Tidak,"Cukup sekali makan ditempat ini, Harga tidak masuk akal, Rasa lebih buruk dari warung jalanan ,ayam pun di goreng masih ada darahnya.harga macam restauran berbintang,",Negatif,"Produk/Makanan, Harga",Tinggi
KARTIKA WELSY LUIN,Ya,218,5,Diedit 2 tahun lalu,Ya,"Makanannya lumayan cuman kadang enak kadang engga jadi tergantung kalo dulu enak sekarang mulai kurang, cara bakarnya kadang masih bau amis",Netral,Produk/Makanan,Rendah
Peter wowor,Bukan,3,1,sebulan lalu,Tidak,"Harga Bintang Lima (super Mahal) rasa kaki Lima (kurang bumbu, tidak ada yang special)",Negatif,"Harga, Produk/Makanan",Sedang
Ahmad Syeh,Ya,211,5,2 tahun lalu,Ya,"Enak banget makanannya ada bakar dan goreng, ikannya jg fresh bisa pilih sambelan dan level pedasnya. Ada banyak foto artis makan d tempat ini.",Positif,Produk/Makanan,Rendah
Eka Nurhidayah,Ya,448,4,Diedit 2 tahun lalu,Ya,"Tempat makan sambelan dg konsep buka 24 jam. Sambelnya biasa aja, dengan harga yg lumayan pricey. Yang jd andalan adalah sambel bawangnya, ukuran bebek cukup besar dan porsi nasi banyak",Netral,"Produk/Makanan, Harga",Rendah
Ita R,Bukan,3,1,setahun lalu,Ya,"OVER PRICE ...makan pinggir jalan harga selangit,rasa b aja... pesan 1ikan bakar ukuran sedang,1 bebek goreng,3ayam goreng,nasi putih 4,es jeruk 2 habis 500lebih..",Negatif,"Harga, Produk/Makanan",Sedang
Ian Fridslan,Ya,105,3,7 tahun lalu,Ya,"Salah satu tempat kuliner di surabaya yang menyajikan penyetan ayam,ikan, dan bebek. Selain itu juga tempat ini menyediakan terong goreng, tahu goreng dan tempe goreng. Jenis sambal yang ditawarkan ada tiga macam yaitu sambal mangga, sambal …",Netral,Produk/Makanan,Rendah
Akmaludin Akbar,Ya,164,1,Diedit 3 tahun lalu,Ya,"Hati-hati! Sebaiknya tanya harga dulu sebelum milih ikan / lauknya, besar kecilnya ikan ga ditimbang harga langsung ditulis gitu aja. . …",Negatif,Harga,Sedang
Popi Andriani,Bukan,7,1,sebulan lalu,Tidak,"Makanan B aja, harga gak masuk akal bgtt! Pelayanan 1/10. Gak wort it!!",Negatif,"Produk/Makanan, Harga",Sedang
Sinta Krisna,Ya,15,3,7 tahun lalu,Ya,"Ayam dan bebek bakar lembut. Tapi harga makan dan minumannya terlalu mahal dgn ukuran seperti itu, jika dibandingkan dgn tempat yg notabene berbentuk depot pinggir jalan (bukan di mall atau semacamnya). …",Negatif,"Produk/Makanan, Harga",Sedang
Lailatur Rofidah,Ya,35,2,11 bulan lalu,Tidak,"Merasa tertipu dengan harganya, beli ikan barona bakar katanya bobot 5 kg an harga 260, nasi 3, jeruk anget 2, sambal 1, terong dan udang kena 429.000. Harga udang 60k dapet 3. Menurutku mahal banget dengan rasa yg pas pasan, mending langsung ke resto bintang 5 aja.",Negatif,"Harga, Produk/Makanan",Tinggi
Antonio Banderas,Bukan,3,1,5 bulan lalu,Tidak,"Parah, 1 ekor gurami ukuran sedang dipatok harga 170rb, makan berdua abis 219rb dengan rasa yg B aja.",Negatif,"Harga, Produk/Makanan",Sedang
Hafidz Al Mubarok,Ya,88,1,3 tahun lalu,Ya,Semoga bisa ditindak lanjuti dinas setempat supaya tdk mengecewakan pendatang... …,Negatif,Suasana/Tempat,Tinggi
Fika Helswando,Ya,211,5,4 tahun lalu,Ya,"Makan dengan sambel yang pedes itu makanan enak versi aq, dsni kita bisa pesan mw sambel yang biasa, sedang atw pedas,, untuk ikan yang aq pesan wlu gag begitu fresh tp gag kecium bau amisnya, mereka juga jual ayam, bebek n jeroan,, ada …",Positif,Produk/Makanan,Rendah
Ahmad Kusnaidi Billah,Bukan,12,1,9 bulan lalu,Tidak,"Makan disini mahal banget , saya makan disini ber 2 sama istri saya bisa habis 400rb , harga ikan sangat mahal , harga nasi dan harga minuman sangat tidak masuk akal , tidak di rekomendasikan buat yang sekedar berkunjung ke surabaya lalu …",Negatif,"Harga, Produk/Makanan",Sedang
Dayu Vinda,Ya,115,5,7 tahun lalu,Ya,"Benar2 enak banget sambelan disini. Bisa request mau gak pedes,sedang ato pedes banget. Harganya masih cukup masuk dikantong. Habis pilih makanan langsung bayar. Bagus nih biar gak ada orang yang kabur hehehe... Kamar mandi bersih. Wastafel ada 3. Bersih semua. Baguss.. Lokasi strategis juga.",Positif,"Produk/Makanan, Harga",Rendah
Aris Dharmawan,Ya,786,3,7 tahun lalu,Ya,"Penjual masakan khas Jawa Timuran yang buka 24 jam, dengan menyajian hidangan ala warung pecel-lele seperti Ayam goreng termasuk segala jenis jerohan ayam yang digoreng, Ikan Goreng, Lele Goreng, Daging Empal (gepuk) dll, yang semuanya disajikan dengan sambal khas gaya lamongan.",Positif,Produk/Makanan,Rendah
