User_Name,Is_Local_Guide,User_Total_Reviews,Rating,Review_Date,Has_Image,Review_Text
"KARTIKA WELSY LUIN","Ya","218","5","Diedit 2 tahun lalu","Ya","Makanannya lumayan cuman kadang enak kadang engga jadi tergantung kalo dulu enak sekarang mulai kurang, cara bakarnya kadang masih bau amis"
"Peter wowor","Bukan","3","1","sebulan lalu","Tidak","Harga Bintang Lima (super Mahal) rasa kaki Lima (kurang bumbu, tidak ada yang special)"
"Ahmad Syeh","Ya","211","5","2 tahun lalu","Ya","Enak banget makanannya ada bakar dan goreng, ikannya jg fresh bisa pilih sambelan dan level pedasnya. Ada banyak foto artis makan d tempat ini."
"Eka Nurhidayah","Ya","448","4","Diedit 2 tahun lalu","Ya","Tempat makan sambelan dg konsep buka 24 jam. Sambelnya biasa aja, dengan harga yg lumayan pricey. Yang jd andalan adalah sambel bawangnya, ukuran bebek cukup besar dan porsi nasi banyak"
"Ita R","Bukan","3","1","setahun lalu","Ya","OVER PRICE ...makan pinggir jalan harga selangit,rasa b aja... pesan 1ikan bakar ukuran sedang,1 bebek goreng,3ayam goreng,nasi putih 4,es jeruk 2 habis 500lebih.."
"Ian Fridslan","Ya","105","3","7 tahun lalu","Ya","Salah satu tempat kuliner di surabaya yang menyajikan penyetan ayam,ikan, dan bebek. Selain itu juga tempat ini menyediakan terong goreng, tahu goreng dan tempe goreng. Jenis sambal yang ditawarkan ada tiga macam yaitu sambal mangga, sambal …"
"Akmaludin Akbar","Ya","164","1","Diedit 3 tahun lalu","Ya","Hati-hati! Sebaiknya tanya harga dulu sebelum milih ikan / lauknya, besar kecilnya ikan ga ditimbang harga langsung ditulis gitu aja. . …"
"Popi Andriani","Bukan","7","1","sebulan lalu","Tidak","Makanan B aja, harga gak masuk akal bgttt! Pelayanan 1/10. Gak wort it!!"
"Sinta Krisna","Ya","15","3","7 tahun lalu","Ya","Ayam dan bebek bakar lembut. Tapi harga makan dan minumannya terlalu mahal dgn ukuran seperti itu, jika dibandingkan dgn tempat yg notabene berbentuk depot pinggir jalan (bukan di mall atau semacamnya). …"
"Lailatur Rofidah","Ya","35","2","11 bulan lalu","Tidak","Merasa tertipu dengan harganya, beli ikan barona bakar katanya bobot 5 kg an harga 260, nasi 3, jeruk anget 2, sambal 1, terong dan udang kena 429.000. Harga udang 60k dapet 3. Menurutku mahal banget dengan rasa yg pas pasan, mending langsung ke resto bintang 5 aja."
"Antonio Banderas","Bukan","3","1","5 bulan lalu","Tidak","Parah, 1 ekor gurami ukuran sedang dipatok harga 170rb, makan berdua abis 219rb dengan rasa yg B aja."
"Hafidz Al Mubarok","Ya","88","1","3 tahun lalu","Ya","Semoga bisa ditindak lanjuti dinas setempat supaya tdk mengecewakan pendatang... …"
"Fika Helswando","Ya","211","5","4 tahun lalu","Ya","Makan dengan sambel yang pedes itu makanan enak versi aq, dsni kita bisa pesan mw sambel yang biasa, sedang atw pedas,, untuk ikan yang aq pesan wlu gag begitu fresh tp gag kecium bau amisnya, mereka juga jual ayam, bebek n jeroan,, ada …"
"Ahmad Kusnaidi Billah","Bukan","12","1","9 bulan lalu","Tidak","Makan disini mahal banget , saya makan disini ber 2 sama istri saya bisa habis 400rb , harga ikan sangat mahal , harga nasi dan harga minuman sangat tidak masuk akal , tidak di rekomendasikan buat yang sekedar berkunjung ke surabaya lalu …"
"Dayu Vinda","Ya","115","5","7 tahun lalu","Ya","Benar2 enak banget sambelan disini. Bisa request mau gak pedes,sedang ato pedes banget. Harganya masih cukup masuk dikantong. Habis pilih makanan langsung bayar. Bagus nih biar gak ada orang yang kabur hehehe... Kamar mandi bersih. Wastafel ada 3. Bersih semua. Bagusss.. Lokasi strategis juga."
"Aris Dharmawan","Ya","786","3","7 tahun lalu","Ya","Penjual masakan khas Jawa Timuran yang buka 24 jam, dengan menyajian hidangan ala warung pecel-lele seperti Ayam goreng termasuk segala jenis jerohan ayam yang digoreng, Ikan Goreng, Lele Goreng, Daging Empal (gepuk) dll, yang semuanya disajikan dengan sambal khas gaya lamongan."
"Ngakan Gde Bayu Aditya","Ya","46","3","7 tahun lalu","Ya","Menyediakan aneka penyetan khas surabaya seperti ikan ayam bebek goreng atau bakar dan aneka pelengkapnya dengan harga standard yang diikuti oleh kualitas rasa yang standard pula dan tidak terlalu spesial, jadi jangan berekpektasi yang …"
"anieta ingne","Bukan","4","1","setahun lalu","Ya","Makanan gak enak kasih harga ngawur. Ayam goreng kering udang tusuk sate 1 tusuk isi 4 harga 40ribu Nasi 1 porsi 13ribu. Harga ngawur …"
"Adik Norma Siti Nurlaila","Bukan","7","1","setahun lalu","Ya","After a long time ga pernah kesini, malem ini nyoba makan disini lagi dan ternyata WOW agak kaget yaa sm harga nya skrg😅 Paru 1 tusuk 48rb, es jeruk 25rb, makan di pinggir jalan, pas pesen mbak2nya nge …"
"jj888 group","Bukan","3","1","6 bulan lalu","Tidak","Harga nya tdk masuk akal. Kita datang ber 4 Pesanan 3 tusuk udang,3 tusuk paru,1 ayam goreng,1 bebek goreng,Pete,Nasi dan es teh 4 harga total 481rb🫣sekelas penyetan ruangan tak ber AC. Rasa seperti pada umumnya penyetan pinggir jalan. …"
"Oki Sasongko","Bukan","1","1","7 bulan lalu","Tidak","Kapok se kapok²nya, sy jg orang kuliner...minta daftar harga ga d kasih...mahal bgt, maksa beli dan coba rasanya ga karuan...klo gini resto dan pelayanannya ga baik, bakal mengecewakan pembeli yg lain"
"Achmad Fauzie","Bukan","1","1","3 bulan lalu","Tidak","sejujur nya harga nya gak masuk akal makan di sni mahal kali..gak sesuai expetasi...!!"
"Eka Muhamad","Bukan","5","1","setahun lalu","Ya","Makanan gini habisnya 200k Gak masuk akal, Kasian yg ketipu. Rasa biasa gaada yg istimewa.. Semoga gaada yg ketipu lagi."
"Cindy Caroline","Ya","324","1","2 tahun lalu","Ya","harga relatif. dorang nya enak lembut, sambalnya juga enak tapi sayangnya dipertengahan makan nemu belatung 2 disambal bawangnya, diganti tapi sudah tidak pengen 🙏🏻 responnya juga seperti sudah biasa,tidak ada maaf juga sama sekali tapi ya sudah apa saya yang terlalu berekspetasi. pertama dan terakhir kesini sekian terima kasih🙏🏻 …"
"kholif nisa","Bukan","1","1","setahun lalu","Ya","Cukup sekali aja kesini. Harus lebih hati2 sih kalo milih tempat makan yang nggak ada tulisan harganya apalagi buat orang mendang mending kyk aku . Sambelnya enak. Tapi ya untuk harganya nggak wajar aja hahah. Nasi aja 13k es jeruk 25k."
"aini alfia","Bukan","4","1","7 bulan lalu","Tidak","kapok wes disini wkwk, buat kalian kalau mau kesini mending mikir2 dulu, harganya ngaco bener!!, buset ayam dada 2 (40rb×2 ), esteh 14rb nasi 14rb busetttt🥲, mana lgii paksu diliatin dari atas smpe kebawah,apa krna dia pake sandal jepit …"
"Deni Prasetio","Ya","11","1","setahun lalu","Ya","Sangat tidak rekomended!! Masak segelas Es Jeruk 25 ribu, 2 piring nasi saja 26 ribu, segelas es BengBeng 27 ribu, 1 paha ayam kecil 33 ribu. …"
"Muhammad Nabil","Bukan","2","1","6 bulan lalu","Tidak","Baru banget tadi siang makan disana Ya Allah karena udah laper lewat situ trs mampir. Rasa makanan standar, layanan biasa, tapi harga GAK MASUK AKAL cuyyyy. …"
"Keisha putri","Bukan","6","1","10 bulan lalu","Tidak","makanan nya biasa saja, harganya overprice ngga dikasih tau juga berapa. layanan nya kurang baik dan tidak ramah suasana nya seram, suram, dan mengerikan"
"susanto ari","Ya","101","1","7 bulan lalu","Tidak","Kena Jebakan Batman... Penjual terMAHAL untuk skala warung, karena kalau disebut restoran juga kurang relevan. Nasi sepiring 15rb, ikan Kakap 6 ons seharga 200rb, Jeruk Hangat 27rb. …"
"Putri Amelia","Bukan","6","1","setahun lalu","Ya","kaget bangettt makan disiniii harganyaaa mahal bangettt ga masukkk akal bozzz😭untuk sekelas makanan pinggiran yo ga ngene bozz😭ya mending maem di restoran layar kalo tau harganya sangat awikwok🥴mbok yo hargae dicantumnooo bozz iwakke hargae …"
